label,hurr_sum,dhw_mean,dhw_sd,sst_mean,sst_sd,k490_mean,k490_sd,prod_mean,prod_sd,rain_mean,rain_sd,6_depth,9_reef,11_het_hab,11_het_typ,12_nursery,14_pop2000,14_pop2005,14_pop2010,14_pop2015,14_pop2020,15_margin,8_fsas,16_slope,23_watpol,18_river,22_inorpol,13_conlob,13_conyel,7_mpa,,YEAR,REGION
24,0,1.109567963,1.846426873,27.81392322,1.14723989,0.036337771,0.008574581,307.7805406,52.66279022,0.483640479,2.132470587,-28.90977595,5.974863053,4.376782077,12.40325866,12.6106324,372303.2531,373518.0041,376147.3117,380208.717,385735.9091,86.56346104,18.0013889,1.344124684,39.14460285,89.83324826,1.034446974,0.039970057,0.018023497,10.30133513,,2006,USVI-St. Thomas
25,0,0.064867918,0.114338534,27.8715531,0.984421972,0.063319047,0.009799663,446.2160732,70.39526917,0.489143904,2.710935707,-21.98297869,7.429845947,3.423681776,9.301572618,11.11046327,3030626.164,3005995.097,2986041.861,2970787.743,2960279.694,78.46332152,47.91785931,0.742927909,143.1267345,20.38724146,1.319099737,0.110335167,0.013174489,17.28096865,,2007,PR-East
26,0,3.70E-04,0.005548455,27.88746918,0.905303205,0.051024486,0.021418073,364.0922491,103.0525613,0.099371574,0.523240321,-6.15,6.938512,3.25,7.5,0.607856375,3058193.434,3020354.197,2986606.815,2956897.366,2931186.18,39.03287138,90.19544575,1.86676125,43.75,17.75801163,22.37857675,0.069243375,0.069164125,42.29167988,,2007,PR-North
27,0,0.001540203,0.007108514,27.97798332,0.90399846,0.062156162,0.015866933,395.5412073,66.47021906,0.063787472,0.426458719,-17.73913039,26.57602962,4.420289855,11.98550725,11.93792974,3300561.059,3261692.333,3227091.785,3196711.461,3170518.034,72.90173855,77.04214896,1.493100942,758.0434783,13.9110853,3.677269775,0.09145187,0.057648594,22.96705967,,2007,PR-South
28,0,5.74E-04,0.002413551,28.12024203,0.906118143,0.059883424,0.013938153,462.6570777,106.8611312,0.046609656,0.339375195,-183.1421415,11.71651362,2.81599595,6.467476588,9.086242144,1664925.419,1635681.054,1608673.67,1583893.895,1561362.681,53.3081995,18.23118141,2.24168085,29.86332574,20.66285772,2.67752384,0.104542558,0.04875819,14.68499239,,2007,PR-West
29,0,0.16662076,0.279393357,27.90331719,0.959192196,0.036522067,0.007334848,314.0203895,64.55654299,0.497121811,2.370787187,-23.85187173,35.59357203,3.842245989,10.36631016,6.497233888,242075.7455,246044.4821,250964.0698,256886.654,263875.0434,41.58733828,11.17290696,2.735620535,11.92513369,152.2241416,0.46339319,0.023459877,0.029996275,13.37921477,,2007,USVI-St. Croix
30,0,0.1064156,0.173989685,27.81710633,0.997741247,0.038110864,0.006777854,304.9177196,52.31886613,0.733567992,3.376914442,-28.64961387,6.013275485,4.409266409,12.52702703,12.38496038,369132.299,370313.9864,372904.3683,376921.1039,382397.9517,86.52795209,17.92722809,1.320603185,37.62548263,90.16113727,1.024867898,0.038036529,0.017084048,10.08307687,,2007,USVI-St. Thomas
31,0,0.019562197,0.03424973,27.47150679,1.206697294,0.059425024,0.011569641,438.4239544,65.68588731,0.330216734,1.73504226,-21.49868878,7.829173385,3.45541958,9.491258741,11.85525186,3044981.512,3020275.994,3000256.653,2984944.45,2974385.934,78.07413769,48.63370567,0.733333164,140.7517483,19.79810822,1.357970193,0.108466859,0.012979174,17.6939192,,2008,PR-East
32,0,0.012909836,0.023686438,27.5111168,1.138287446,0.044357281,0.019488154,368.0888041,88.89542638,0.14202527,0.766507009,-6.15,6.938512,3.25,7.5,0.607856375,3058193.434,3020354.197,2986606.815,2956897.366,2931186.18,39.03287138,90.19544575,1.86676125,43.75,17.75801163,22.37857675,0.069243375,0.069164125,42.29167988,,2008,PR-North
33,0,0.002669095,0.004812904,27.63369814,1.147785941,0.063204158,0.02018981,398.7590373,56.23431694,0.077204106,0.512364158,-17.85703699,26.56540581,4.414814815,11.95555556,11.73178688,3298996.036,3259987.25,3225245.997,3194724.091,3168387.971,72.84626306,77.09414947,1.502270222,752.6666667,14.02876876,3.639824341,0.092822593,0.058080207,22.85587313,,2008,PR-South
34,0,0.076710323,0.137141785,27.76806879,1.143308914,0.056377577,0.012772315,454.638249,80.6749499,0.07917508,0.467185421,-182.9674075,11.69308944,2.825549104,6.47311285,8.917606474,1651693.39,1623131.146,1596931.122,1573141.459,1551864.307,53.60209818,18.12275279,2.255327223,29.40419086,21.46241223,2.608935917,0.101910609,0.049044554,15.39041152,,2008,PR-West
35,1,0.258059348,0.459716291,27.55142886,1.178198477,0.035934625,0.007090843,305.0383658,54.9988653,0.439463364,2.125496989,-22.99392412,34.79850095,3.903797468,10.65316456,7.072590456,242481.8184,246459.9476,251390.1417,257324.6505,264326.4075,41.64869168,11.87204263,2.632584076,11.82278481,151.8002961,0.465903901,0.024214501,0.029816246,12.70736057,,2008,USVI-St. Croix
36,0.926,0.095202951,0.173309851,27.3755046,1.234582361,0.038202838,0.007261783,299.9343066,44.48052168,0.525001734,2.529668847,-29.30559997,5.926949312,4.388,12.5,12.76504041,370530.9605,371647.7526,374180.0805,378144.9466,383575.5376,86.77883575,17.4857454,1.25828696,38.62,89.87368171,1.053270738,0.0353693,0.017092644,9.72168512,,2008,USVI-St. Thomas
37,0,0.066591598,0.120927987,27.523364,1.32957132,0.063151186,0.014584572,486.4102165,158.5121995,0.374699526,2.005016676,-21.52839611,7.844779809,3.45398773,9.49167397,11.87580348,3043658.78,3018959.476,2998945.642,2983638.261,2973083.911,78.11866001,48.53914685,0.73299255,140.8588957,19.83791412,1.349577215,0.108723166,0.01295288,17.61928291,,2009,PR-East
38,0,0.073225405,0.133322953,27.53330511,1.314108432,0.047776913,0.020341787,415.7736662,122.5073033,0.066942713,0.305862669,-4.6,6.348616909,3.454545455,8.363636364,1.141692727,3541039.545,3496831.934,3457403.316,3422694.915,3392665.69,39.60178018,105.755795,1.45959,59.09090909,16.144129,22.46161091,0.058678364,0.073054364,39.11898082,,2009,PR-North
39,0,0.018298392,0.033513685,27.73769903,1.264188522,0.067785815,0.017632292,462.6039088,121.6026623,0.069008436,0.533519564,-17.73913039,26.57602962,4.420289855,11.98550725,11.93792974,3300561.059,3261692.333,3227091.785,3196711.461,3170518.034,72.90173855,77.04214896,1.493100942,758.0434783,13.9110853,3.677269775,0.09145187,0.057648594,22.96705967,,2009,PR-South
40,0,0.020474476,0.037495536,27.85394109,1.289395341,0.061888215,0.017237066,492.1955274,105.9225291,0.03713482,0.248609295,-182.7139403,11.69184246,2.827325435,6.47819511,8.90511044,1650094.575,1621614.093,1595508.606,1571832.228,1550695.523,53.64485879,18.09928802,2.255463869,29.37484245,21.55583829,2.605083403,0.102163387,0.049077653,15.48457775,,2009,PR-West
41,0,0.204330044,0.36831417,27.66256896,1.291331303,0.040498496,0.009530158,394.073058,169.1263268,0.396153459,1.95673756,-22.40885787,35.89373069,3.990675991,10.81585082,7.443445711,242106.0555,246089.3414,251026.1018,256968.7182,263980.2797,41.67445451,12.35958785,2.488990932,11.67832168,151.4523848,0.440710492,0.023500709,0.029762559,11.86401461,,2009,USVI-St. Croix
